nodeid,year,groupid,noffences,size,tsc_haitian,tsc_yob
232,2001,,,,0,1971
232,2002,,,,0,1971
232,2003,,,,0,1971
232,2004,1142,1,1,0,1971
232,2005,,,,0,1971
232,2006,,,,0,1971
232,2007,,,,0,1971
232,2008,,,,0,1971
232,2009,,,,0,1971
483,2001,231,8,2,0,1973
483,2002,,,,0,1973
483,2003,,,,0,1973
483,2004,,,,0,1973
483,2005,,,,0,1973
483,2006,,,,0,1973
483,2007,,,,0,1973
483,2008,,,,0,1973
483,2009,,,,0,1973
799,2001,,,,0,1987
799,2002,,,,0,1987
799,2003,,,,0,1987
799,2004,,,,0,1987
799,2005,,,,0,1987
799,2006,1514,,1,0,1987
799,2007,,,,0,1987
799,2008,,,,0,1987
799,2009,,,,0,1987
1000,2001,,,,0,1988
1000,2002,,,,0,1988
1000,2003,1301,,1,0,1988
1000,2004,,,,0,1988
1000,2005,1254,1,1,0,1988
1000,2006,2,14,53,0,1988
1000,2007,,,,0,1988
1000,2008,,,,0,1988
1000,2009,,,,0,1988
2060,2001,1083,,1,0,1977
2060,2002,457,6,1,0,1977
2060,2003,502,10,1,0,1977
2060,2004,736,2,1,0,1977
2060,2005,,,,0,1977
2060,2006,,,,0,1977
2060,2007,1975,1,1,0,1977
2060,2008,,,,0,1977
2060,2009,1307,2,1,0,1977
2127,2001,96,3,3,0,1983
2127,2002,,,,0,1983
2127,2003,,,,0,1983
2127,2004,,,,0,1983
2127,2005,,,,0,1983
2127,2006,,,,0,1983
2127,2007,,,,0,1983
2127,2008,,,,0,1983
2127,2009,875,2,1,0,1983
2132,2001,,,,0,1983
2132,2002,5,,20,0,1983
2132,2003,1152,7,1,0,1983
2132,2004,456,5,1,0,1983
2132,2005,,,,0,1983
2132,2006,17,3,14,0,1983
2132,2007,556,,1,0,1983
2132,2008,606,3,1,0,1983
2132,2009,1186,,1,0,1983
2135,2001,,,,1,1984
2135,2002,,,,1,1984
2135,2003,634,1,1,1,1984
2135,2004,,,,1,1984
2135,2005,,,,1,1984
2135,2006,,,,1,1984
2135,2007,,,,1,1984
2135,2008,,,,1,1984
2135,2009,,,,1,1984
2167,2001,,,,0,1989
2167,2002,,,,0,1989
2167,2003,,,,0,1989
2167,2004,1435,,1,0,1989
2167,2005,,,,0,1989
2167,2006,1133,2,1,0,1989
2167,2007,77,2,4,0,1989
2167,2008,,,,0,1989
2167,2009,1861,,1,0,1989
2264,2001,627,2,1,0,1976
2264,2002,,,,0,1976
2264,2003,341,6,1,0,1976
2264,2004,598,7,1,0,1976
2264,2005,,,,0,1976
2264,2006,,,,0,1976
2264,2007,,,,0,1976
2264,2008,,,,0,1976
2264,2009,,,,0,1976
2335,2001,294,,1,0,1987
2335,2002,,,,0,1987
2335,2003,75,,4,0,1987
2335,2004,813,,1,0,1987
2335,2005,140,,3,0,1987
2335,2006,195,2,2,0,1987
2335,2007,35,1,8,0,1987
2335,2008,,,,0,1987
2335,2009,11,,25,0,1987
2376,2001,,,,0,1971
2376,2002,690,1,1,0,1971
2376,2003,1777,2,1,0,1971
2376,2004,459,7,1,0,1971
2376,2005,994,3,1,0,1971
2376,2006,663,6,1,0,1971
2376,2007,515,16,1,0,1971
2376,2008,6,21,40,0,1971
2376,2009,25,5,10,0,1971
2937,2001,,,,0,1988
2937,2002,,,,0,1988
2937,2003,,,,0,1988
2937,2004,1985,1,1,0,1988
2937,2005,9,6,18,0,1988
2937,2006,680,1,1,0,1988
2937,2007,,,,0,1988
2937,2008,,,,0,1988
2937,2009,,,,0,1988
2949,2001,1325,1,1,0,1983
2949,2002,228,3,2,0,1983
2949,2003,924,4,1,0,1983
2949,2004,328,14,1,0,1983
2949,2005,559,1,1,0,1983
2949,2006,944,2,1,0,1983
2949,2007,1621,1,1,0,1983
2949,2008,591,1,1,0,1983
2949,2009,1961,1,1,0,1983
3047,2001,,,,0,1979
3047,2002,1010,,1,0,1979
3047,2003,,,,0,1979
3047,2004,1309,3,1,0,1979
3047,2005,,,,0,1979
3047,2006,,,,0,1979
3047,2007,,,,0,1979
3047,2008,,,,0,1979
3047,2009,,,,0,1979
3415,2001,691,2,1,0,1979
3415,2002,917,1,1,0,1979
3415,2003,1072,1,1,0,1979
3415,2004,1186,2,1,0,1979
3415,2005,204,5,2,0,1979
3415,2006,299,2,2,0,1979
3415,2007,,,,0,1979
3415,2008,445,3,1,0,1979
3415,2009,26,8,10,0,1979
3423,2001,,,,0,1980
3423,2002,612,2,1,0,1980
3423,2003,691,3,1,0,1980
3423,2004,,,,0,1980
3423,2005,,,,0,1980
3423,2006,7,,32,0,1980
3423,2007,,,,0,1980
3423,2008,,,,0,1980
3423,2009,937,1,1,0,1980
3443,2001,,,,0,1983
3443,2002,,,,0,1983
3443,2003,,,,0,1983
3443,2004,,,,0,1983
3443,2005,,,,0,1983
3443,2006,,,,0,1983
3443,2007,1480,,1,0,1983
3443,2008,338,,2,0,1983
3443,2009,,,,0,1983
3444,2001,,,,0,1983
3444,2002,,,,0,1983
3444,2003,84,1,4,0,1983
3444,2004,392,4,1,0,1983
3444,2005,533,,1,0,1983
3444,2006,,,,0,1983
3444,2007,1063,9,1,0,1983
3444,2008,233,19,2,0,1983
3444,2009,980,20,1,0,1983
3450,2001,,,,0,1983
3450,2002,5,,20,0,1983
3450,2003,31,5,8,0,1983
3450,2004,38,5,7,0,1983
3450,2005,1692,,1,0,1983
3450,2006,10,4,21,0,1983
3450,2007,675,3,1,0,1983
3450,2008,1384,1,1,0,1983
3450,2009,161,1,2,0,1983
3635,2001,,,,0,1979
3635,2002,,,,0,1979
3635,2003,,,,0,1979
3635,2004,,,,0,1979
3635,2005,,,,0,1979
3635,2006,727,,1,0,1979
3635,2007,,,,0,1979
3635,2008,574,1,1,0,1979
3635,2009,,,,0,1979
3642,2001,,,,0,1988
3642,2002,,,,0,1988
3642,2003,,,,0,1988
3642,2004,,,,0,1988
3642,2005,347,,1,0,1988
3642,2006,6,1,33,0,1988
3642,2007,9,1,22,0,1988
3642,2008,233,21,2,0,1988
3642,2009,,,,0,1988
4025,2001,,,,0,1986
4025,2002,64,,4,0,1986
4025,2003,1697,4,1,0,1986
4025,2004,37,5,7,0,1986
4025,2005,2,11,58,0,1986
4025,2006,,,,0,1986
4025,2007,1510,1,1,0,1986
4025,2008,71,21,4,0,1986
4025,2009,69,9,4,0,1986
4356,2001,,,,1,1975
4356,2002,,,,1,1975
4356,2003,61,,5,1,1975
4356,2004,,,,1,1975
4356,2005,,,,1,1975
4356,2006,1,,77,1,1975
4356,2007,123,,3,1,1975
4356,2008,154,2,2,1,1975
4356,2009,1286,2,1,1,1975
4358,2001,,,,0,1984
4358,2002,1427,22,1,0,1984
4358,2003,,,,0,1984
4358,2004,,,,0,1984
4358,2005,,,,0,1984
4358,2006,,,,0,1984
4358,2007,1864,,1,0,1984
4358,2008,,,,0,1984
4358,2009,,,,0,1984
4394,2001,,,,1,1983
4394,2002,24,3,8,1,1983
4394,2003,,,,1,1983
4394,2004,7,2,15,1,1983
4394,2005,,,,1,1983
4394,2006,,,,1,1983
4394,2007,1475,1,1,1,1983
4394,2008,628,1,1,1,1983
4394,2009,279,,2,1,1983
4436,2001,,,,1,1979
4436,2002,,,,1,1979
4436,2003,11,5,17,1,1979
4436,2004,,,,1,1979
4436,2005,319,1,1,1,1979
4436,2006,177,6,2,1,1979
4436,2007,1273,,1,1,1979
4436,2008,15,,20,1,1979
4436,2009,,,,1,1979
4507,2001,,,,1,1977
4507,2002,,,,1,1977
4507,2003,,,,1,1977
4507,2004,,,,1,1977
4507,2005,,,,1,1977
4507,2006,2271,1,1,1,1977
4507,2007,348,3,1,1,1977
4507,2008,842,3,1,1,1977
4507,2009,766,1,1,1,1977
4644,2001,,,,1,1982
4644,2002,,,,1,1982
4644,2003,1543,,1,1,1982
4644,2004,1355,,1,1,1982
4644,2005,,,,1,1982
4644,2006,,,,1,1982
4644,2007,,,,1,1982
4644,2008,,,,1,1982
4644,2009,1879,,1,1,1982
4819,2001,1284,,1,0,1983
4819,2002,339,7,1,0,1983
4819,2003,47,8,6,0,1983
4819,2004,1537,,1,0,1983
4819,2005,87,,3,0,1983
4819,2006,251,2,2,0,1983
4819,2007,869,,1,0,1983
4819,2008,41,2,7,0,1983
4819,2009,1369,1,1,0,1983
4823,2001,,,,0,1984
4823,2002,192,,2,0,1984
4823,2003,47,6,6,0,1984
4823,2004,,,,0,1984
4823,2005,87,,3,0,1984
4823,2006,251,3,2,0,1984
4823,2007,,,,0,1984
4823,2008,,,,0,1984
4823,2009,,,,0,1984
5055,2001,1040,,1,1,1984
5055,2002,,,,1,1984
5055,2003,131,3,3,1,1984
5055,2004,,,,1,1984
5055,2005,1068,1,1,1,1984
5055,2006,930,1,1,1,1984
5055,2007,,,,1,1984
5055,2008,112,1,3,1,1984
5055,2009,1184,,1,1,1984
5394,2001,872,3,1,0,1970
5394,2002,,,,0,1970
5394,2003,,,,0,1970
5394,2004,,,,0,1970
5394,2005,,,,0,1970
5394,2006,,,,0,1970
5394,2007,,,,0,1970
5394,2008,953,9,1,0,1970
5394,2009,,,,0,1970
5691,2001,,,,0,1982
5691,2002,,,,0,1982
5691,2003,,,,0,1982
5691,2004,1059,1,1,0,1982
5691,2005,707,1,1,0,1982
5691,2006,1494,3,1,0,1982
5691,2007,,,,0,1982
5691,2008,1408,5,1,0,1982
5691,2009,830,11,1,0,1982
5813,2001,,,,0,1981
5813,2002,,,,0,1981
5813,2003,384,4,1,0,1981
5813,2004,263,,2,0,1981
5813,2005,,,,0,1981
5813,2006,,,,0,1981
5813,2007,,,,0,1981
5813,2008,,,,0,1981
5813,2009,,,,0,1981
5844,2001,,,,0,1982
5844,2002,,,,0,1982
5844,2003,,,,0,1982
5844,2004,,,,0,1982
5844,2005,,,,0,1982
5844,2006,,,,0,1982
5844,2007,2114,6,1,0,1982
5844,2008,6,14,40,0,1982
5844,2009,,,,0,1982
5845,2001,,,,0,1983
5845,2002,,,,0,1983
5845,2003,,,,0,1983
5845,2004,,,,0,1983
5845,2005,,,,0,1983
5845,2006,,,,0,1983
5845,2007,,,,0,1983
5845,2008,458,1,1,0,1983
5845,2009,,,,0,1983
6170,2001,,,,0,1989
6170,2002,,,,0,1989
6170,2003,,,,0,1989
6170,2004,1146,1,1,0,1989
6170,2005,590,1,1,0,1989
6170,2006,1243,,1,0,1989
6170,2007,10,5,19,0,1989
6170,2008,,,,0,1989
6170,2009,1078,2,1,0,1989
6441,2001,875,,1,0,1985
6441,2002,25,,8,0,1985
6441,2003,1,8,49,0,1985
6441,2004,3,1,21,0,1985
6441,2005,3,9,51,0,1985
6441,2006,859,4,1,0,1985
6441,2007,,,,0,1985
6441,2008,11,,29,0,1985
6441,2009,16,,17,0,1985
6493,2001,,,,0,1976
6493,2002,,,,0,1976
6493,2003,,,,0,1976
6493,2004,,,,0,1976
6493,2005,,,,0,1976
6493,2006,,,,0,1976
6493,2007,,,,0,1976
6493,2008,1119,,1,0,1976
6493,2009,494,,1,0,1976
6621,2001,,,,0,1984
6621,2002,,,,0,1984
6621,2003,,,,0,1984
6621,2004,,,,0,1984
6621,2005,,,,0,1984
6621,2006,23,1,11,0,1984
6621,2007,,,,0,1984
6621,2008,108,2,3,0,1984
6621,2009,,,,0,1984
7088,2001,,,,0,1987
7088,2002,304,,1,0,1987
7088,2003,,,,0,1987
7088,2004,,,,0,1987
7088,2005,,,,0,1987
7088,2006,967,1,1,0,1987
7088,2007,,,,0,1987
7088,2008,,,,0,1987
7088,2009,,,,0,1987
7787,2001,,,,0,1979
7787,2002,,,,0,1979
7787,2003,,,,0,1979
7787,2004,364,1,1,0,1979
7787,2005,2,3,58,0,1979
7787,2006,,,,0,1979
7787,2007,,,,0,1979
7787,2008,,,,0,1979
7787,2009,,,,0,1979
7795,2001,,,,0,1983
7795,2002,,,,0,1983
7795,2003,,,,0,1983
7795,2004,35,6,7,0,1983
7795,2005,,,,0,1983
7795,2006,,,,0,1983
7795,2007,,,,0,1983
7795,2008,9,,30,0,1983
7795,2009,,,,0,1983
7874,2001,,,,0,1979
7874,2002,,,,0,1979
7874,2003,16,5,13,0,1979
7874,2004,,,,0,1979
7874,2005,,,,0,1979
7874,2006,,,,0,1979
7874,2007,,,,0,1979
7874,2008,1244,1,1,0,1979
7874,2009,,,,0,1979
7973,2001,1280,1,1,0,1973
7973,2002,,,,0,1973
7973,2003,240,3,2,0,1973
7973,2004,,,,0,1973
7973,2005,803,,1,0,1973
7973,2006,,,,0,1973
7973,2007,1278,,1,0,1973
7973,2008,639,,1,0,1973
7973,2009,,,,0,1973
8070,2001,,,,1,1984
8070,2002,,,,1,1984
8070,2003,1098,1,1,1,1984
8070,2004,62,4,4,1,1984
8070,2005,,,,1,1984
8070,2006,,,,1,1984
8070,2007,2042,,1,1,1984
8070,2008,,,,1,1984
8070,2009,,,,1,1984
8211,2001,,,,0,1991
8211,2002,,,,0,1991
8211,2003,,,,0,1991
8211,2004,,,,0,1991
8211,2005,,,,0,1991
8211,2006,,,,0,1991
8211,2007,,,,0,1991
8211,2008,,,,0,1991
8211,2009,1,2,120,0,1991
8292,2001,1483,,1,1,1983
8292,2002,,,,1,1983
8292,2003,,,,1,1983
8292,2004,,,,1,1983
8292,2005,,,,1,1983
8292,2006,,,,1,1983
8292,2007,,,,1,1983
8292,2008,9,,30,1,1983
8292,2009,1192,2,1,1,1983
8645,2001,3,5,29,1,1987
8645,2002,29,5,6,1,1987
8645,2003,1451,1,1,1,1987
8645,2004,,,,1,1987
8645,2005,2,12,58,1,1987
8645,2006,334,1,1,1,1987
8645,2007,1327,1,1,1,1987
8645,2008,791,3,1,1,1987
8645,2009,,,,1,1987
9019,2001,,,,1,1985
