SPECIMEN;SERVPOL;SAISIE;masse_coca;masse_hero;masse_divers;Type;EMBALLAGE;masse_ech;masse_specimen;DESCRIPTION;PURETE;STUP;COUPAGE;CLASSE;1.4_dmt;acide.4-aminobenzoique;acide.abietique;acide.acetylsalicylique;acide.ascorbique;acide.citrique;acide.isopimarique;acide.palmitique;acide.salicylique;acide.stearique;acides.gras;benzocaine;bicarbonate.sodium;butylbromure.scopolamine;cafeine;chlorprothixene;creatine;creatinine;dextromethorphane;diazepam;diethylphtalate;diltiazem;escitalopram;fluoxetine;fructose;glucose;glutamine;glycerol;griseofulvine;hydroxyzine;ibuprofen;inositol;ketamine;lactose;levamisol;lidocaine;mannitol;melatonine;methandrostenolone;metoprolol;nicotinamide;paracetamol;phenacetine;phenobarbital;piracetam;procaine;sorbitol;sucres;sucrose;tetracaine;tramadol;vanilline
011_01.13_1_;01;011_01.13;NA;NA;NA;NA;minigrip;NA;NA;morceaux_d'une_gelule_de_couleur_bleu/gris/rose;NA;aucun;paracetamol acide.palmitique acide.stearique;NA;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
014_01.13_1_;02;014_01.13;307.19;NA;NA;cocaine;sachet_plastique;4.74;307.19;poudre_blanche;NA;cocaine_traces;phenacetine ibuprofen paracetamol benzocaine cafeine levamisol procaine tetracaine lactose;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0
016_01.13_1_;10;016_01.13;NA;NA;NA;NA;tube_denvoi;NA;NA;poudre_blanche;NA;4_mec;lactose;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
016_01.13_4_;10;016_01.13;NA;NA;NA;NA;tube_denvoi;NA;NA;poudre_brune;29.9;heroine;paracetamol cafeine ;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
016_01.13_6_;10;016_01.13;NA;NA;NA;NA;tube_denvoi;NA;NA;poudre_blanche;39.1;cocaine;phenacetine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
016_01.13_7_;10;016_01.13;NA;NA;NA;NA;tube_denvoi;NA;NA;poudre_blanche;42.1;cocaine;phenacetine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
017_01.13_1_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.73;4.39;poudre_brune_contenue_dans_le_sachet_minigrip_1_(p001_01);9.4;heroine;paracetamol cafeine;H02000353000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_2_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.76;4.4;poudre_brune_contenue_dans_le_sachet_minigrip_2_(p001_01);9.2;heroine;paracetamol cafeine;H02000353000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_3_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.71;4.6;poudre_brune_contenue_dans_le_sachet_minigrip_3_(p001_01);9.4;heroine;paracetamol cafeine;H02000353000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_4_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.79;4.54;poudre_brune_contenue_dans_le_sachet_minigrip_1_(p001_02_01);11.5;heroine;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_5_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.77;4.57;poudre_brune_contenue_dans_le_sachet_minigrip_2_(p001_02_01);11.4;heroine;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_6_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.78;4.52;poudre_brune_contenue_dans_le_sachet_minigrip_3_(p001_02_01);11.3;heroine;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_7_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.74;4.47;poudre_brune_contenue_dans_le_sachet_minigrip_1_(p001_02_02);11.4;heroine;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_8_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.72;4.6;poudre_brune_contenue_dans_le_sachet_minigrip_2_(p001_02_02);10.9;heroine;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
017_01.13_9_;02;017_01.13;NA;113.23;NA;heroine;minigrip;0.72;4.54;poudre_brune_contenue_dans_le_sachet_minigrip_3_(p001_02_02);11;heroine;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
018_01.13_1_;02;018_01.13;291.29;NA;NA;cocaine;caninette;4.77;291.29;poudre_blanche;24.6;cocaine;phenacetine lidocaine glucose mannitol levamisol;C01001406000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
